시점,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2000,21173,4668,1633,1092,1101,554,579,437,-,4067,671,666,892,844,981,1368,1361,261
2001,21614,4736,1648,1118,1139,579,608,448,-,4245,665,669,897,853,983,1375,1387,265
2002,22232,4807,1710,1153,1177,607,640,471,-,4490,687,684,911,843,988,1379,1412,273
2003,22222,4811,1619,1143,1172,596,638,471,-,4607,670,668,908,839,969,1363,1466,282
2004,22682,4917,1628,1168,1182,610,643,482,-,4833,681,682,943,829,949,1363,1492,281
2005,22831,4959,1630,1158,1190,621,638,482,-,4960,676,682,954,823,939,1355,1480,284
2006,23188,5015,1642,1148,1223,623,653,482,-,5121,687,688,994,829,935,1365,1497,289
2007,23561,5084,1644,1144,1265,643,670,502,-,5255,682,701,1027,842,931,1359,1523,287
2008,23775,5077,1623,1135,1281,650,685,519,-,5408,689,719,1013,843,927,1360,1557,289
2009,23688,4983,1593,1142,1300,662,688,514,-,5409,695,729,1005,843,934,1354,1550,289
2010,24033,5059,1599,1163,1332,680,694,523,-,5556,683,743,1029,839,912,1370,1564,284
2011,24527,5150,1615,1170,1380,687,709,539,-,5698,692,759,1063,862,922,1375,1613,294
2012,24955,5145,1660,1208,1429,691,724,550,-,5857,707,760,1095,871,943,1395,1618,303
2013,25299,5146,1670,1205,1448,706,734,554,-,6017,706,784,1141,895,942,1403,1641,309
2014,25897,5209,1693,1227,1472,732,762,556,-,6272,721,823,1163,901,945,1441,1660,322
2015,26178,5165,1684,1246,1488,733,770,573,-,6393,741,839,1199,922,962,1433,1691,339
2016,26409,5146,1686,1247,1520,730,774,576,-,6504,749,845,1226,940,964,1443,1704,355
2017,26725,5152,1685,1239,1533,744,764,584,129,6685,790,861,1140,921,957,1447,1723,374
2018,26822,5080,1657,1226,1575,749,759,574,148,6790,789,876,1179,915,961,1427,1746,372
2019,27123,5086,1676,1219,1581,750,772,571,168,6952,811,880,1196,928,974,1430,1749,382
2020,26904,5051,1640,1184,1560,748,780,560,180,6909,795,890,1176,932,974,1418,1729,378
2021,27273,5055,1657,1217,1563,745,785,555,185,7150,809,897,1193,953,985,1410,1732,383
2022,28089,5113,1679,1228,1614,750,794,566,197,7597,818,926,1226,968,1010,1462,1740,402
2023,28416,5174,1691,1247,1655,769,797,572,208,7653,841,939,1248,983,1019,1462,1760,401
