연도,평균기온,강수량,평균 해수면 온도,평균기온 편차,강수량 편차,폭염일수,지구표면온도편차,여름평균기온편차,겨울평균기온편차,평균기온편차,여름평균기온,겨울평균기온,
1970,12.3,1411.1,16.1,-0.5,105.3,,0.03,,,-0.5,,,
1971,12.6,867.3,16,-0.2,-438.5,,-0.08,,,-0.2,,,
1972,12.5,1040.7,16.6,-0.3,-265.1,,0.01,,,-0.3,,,
1973,12.6,1072.4,16.6,-0.2,-233.4,14.3,0.16,0.8 ,-1.8 ,-0.2,24.5,-1.5,
1974,11.5,1377,16,-1.3,71.2,4.8,-0.07,-1.4 ,-0.5 ,-1.3,22.3,-0.2,
1975,12.7,1348.5,16.9,-0.1,42.7,9,-0.01,0.1 ,-0.1 ,-0.1,23.8,0.2,
1976,11.8,1130.4,16.3,-1,-175.4,2.8,-0.1,-1.2 ,-2.1 ,-1,22.5,-1.8,
1977,12.5,1025.5,15.9,-0.3,-280.3,10,0.18,-0.3 ,0.4 ,-0.3,23.4,0.6,
1978,12.9,1188,17.1,0.1,-117.8,14.7,0.07,1.0 ,1.8 ,0.1,24.7,2,
1979,12.8,1433.9,17.3,0,128.1,5,0.16,-0.2 ,-0.7 ,0,23.5,-0.4,
1980,11.4,1515.5,15.9,-1.4,209.7,0.6,0.26,-1.7 ,-2.8 ,-1.4,22,-2.5,
1981,11.6,1324.2,15.8,-1.2,18.4,7.7,0.32,-0.2 ,-0.6 ,-1.2,23.5,-0.3,
1982,12.6,1014.8,17.1,-0.2,-291,7.4,0.14,-0.4 ,-0.6 ,-0.2,23.3,-0.3,
1983,12.4,1223.2,16.9,-0.4,-82.6,10.2,0.31,-0.3 ,-2.6 ,-0.4,23.4,-2.3,
1984,11.9,1277.1,16.1,-0.9,-28.7,12.3,0.16,0.6 ,-1.1 ,-0.9,24.3,-0.8,
1985,12.2,1737.2,16.6,-0.6,431.4,13.7,0.12,0.3 ,-2.5 ,-0.6,24,-2.2,
