시점,주요농산물총생산,식량작물총생산,채소총생산,과일총생산
1980,12929 ,4905 ,7190 ,833 
1981,14933 ,6471 ,7435 ,1026 
1982,15501 ,6436 ,7871 ,1194 
1983,14938 ,6726 ,6813 ,1400 
1984,15291 ,6951 ,7111 ,1229 
1985,15030 ,6631 ,6935 ,1464 
1986,15752 ,6448 ,7829 ,1475 
1987,14574 ,6430 ,6561 ,1583 
1988,16222 ,7040 ,7468 ,1714 
1989,16971 ,6851 ,7935 ,2185 
1990,16475 ,6428 ,8281 ,1766 
1991,16680 ,6828 ,8087 ,1765 
1992,17370 ,7004 ,8276 ,2090 
1993,17775 ,6266 ,9589 ,1920 
1994,16706 ,6306 ,8470 ,1930 
1995,18146 ,6160 ,9686 ,2300 
1996,18574 ,6963 ,9404 ,2207 
1997,18336 ,6855 ,9030 ,2452 
1998,17810 ,6443 ,9247 ,2120 
1999,18621 ,6838 ,9447 ,2336 
2000,19625 ,6713 ,10483 ,2429 
2001,19848 ,6871 ,10496 ,2481 
2002,17849 ,6348 ,8984 ,2516 
2003,17068 ,5588 ,9191 ,2289 
2004,18913 ,6422 ,10062 ,2429 
2005,18139 ,6431 ,9097 ,2611 
2006,17947 ,6002 ,9445 ,2499 
2007,17317 ,5737 ,8828 ,2752 
2008,18291 ,6208 ,9343 ,2740 
2009,18121 ,6268 ,9353 ,2500 
2010,15942 ,5536 ,8190 ,2216 
2011,17192 ,5449 ,9641 ,2102 
2012,15244 ,5288 ,7930 ,2027 
2013,16459 ,5634 ,8617 ,2207 
2014,17251 ,5523 ,9381 ,2347 
2015,16011 ,5479 ,8167 ,2364 
2016,15389 ,5387 ,7615 ,2387 
2017,15642 ,5064 ,8221 ,2358 
2018,15955 ,5047 ,8748 ,2160 
2019,15574 ,5181 ,8186 ,2206 
2020,14696 ,4717 ,8004 ,1976 
2021,15527 ,5142 ,8276 ,2109 
2022,15026 ,4949 ,7871 ,2206 
