½ÃÁ¡,ÁÖ¿ä³ó»ê¹°ÃÑ»ý»ê,½Ä·®ÀÛ¹°ÃÑ»ý»ê,Ã¤¼ÒÃÑ»ý»ê,°úÀÏÃÑ»ý»ê,¹Ì°î»ý»ê,Æò±Õ½Ò°¡°Ý
1980,12929,4905,7190,833,3550,
1981,14933,6471,7435,1026,5063,
1982,15501,6436,7871,1194,5175,
1983,14938,6726,6813,1400,5404,
1984,15291,6951,7111,1229,5682,
1985,15030,6631,6935,1464,5626,
1986,15752,6448,7829,1475,5607,
1987,14574,6430,6561,1583,5493,
1988,16222,7040,7468,1714,6053,
1989,16971,6851,7935,2185,5898,
1990,16475,6428,8281,1766,5606,
1991,16680,6828,8087,1765,5384,
1992,17370,7004,8276,2090,5331,
1993,17775,6266,9589,1920,4750,
1994,16706,6306,8470,1930,5060,
1995,18146,6160,9686,2300,4695,
1996,18574,6963,9404,2207,5323,
1997,18336,6855,9030,2452,5450,
1998,17810,6443,9247,2120,5097,
1999,18621,6838,9447,2336,5263,
2000,19625,6713,10483,2429,5291,
2001,19848,6871,10496,2481,5515,
2002,17849,6348,8984,2516,4927,
2003,17068,5588,9191,2289,4451,
2004,18913,6422,10062,2429,5000,
2005,18139,6431,9097,2611,4768,
2006,17947,6002,9445,2499,4680,
2007,17317,5737,8828,2752,4408,
2008,18291,6208,9343,2740,4843,
2009,18121,6268,9353,2500,4916,
2010,15942,5536,8190,2216,4295,"41,221"
2011,17192,5449,9641,2102,4224,"43,852"
2012,15244,5288,7930,2027,4006,"44,284"
2013,16459,5634,8617,2207,4230,"46,692"
2014,17251,5523,9381,2347,4241,"45,763"
2015,16011,5479,8167,2364,4327,"44,600"
2016,15389,5387,7615,2387,4197,"39,698"
2017,15642,5064,8221,2358,3972,"37,388"
2018,15955,5047,8748,2160,3868,"48,538"
2019,15574,5181,8186,2206,3744,"52,458"
2020,14696,4717,8004,1976,3507,"53,638"
2021,15527,5142,8276,2109,3882,"59,080"
2022,15026,4949,7871,2206,3764,"51,336"
2023,,,,,,"53,278"
