시점,총소비자물가지수,농축수산물물가지수,농산물물가지수,곡물물가지수,채소물가지수,과실물가지수,기타농산물물가지수,축산물물가지수,수산물물가지수
1985,29.555,19.78,20.654,31.284,11.995,18.935,20.201,22.573,15.321
1986,30.368,20.152,20.965,33.191,12.525,18.223,16.626,21.743,17.125
1987,31.293,20.853,21.82,34.361,13.211,21.836,14.145,20.455,19.201
1988,33.53,23.64,24.901,36.982,17.347,24.243,17.035,22.919,21.415
1989,35.441,25.271,25.815,38.35,18.511,26.185,14.973,26.691,23.669
1990,38.48,28.043,28.51,42.287,20.02,28.168,18.72,30.598,25.869
1991,42.071,31.741,32.526,44.346,22.215,38.36,22.767,33.8,29.369
1992,44.685,33.056,33.988,45.754,23.471,40.232,24.267,34.217,31.253
1993,46.831,33.575,34.643,48.231,25.344,36.187,24.358,34.058,32.189
1994,49.765,37.684,39.92,50.001,33.333,43.877,27.57,35.103,36.028
1995,51.995,38.763,41.365,51.801,30.586,49.379,32.26,35.2,37.069
1996,54.555,39.47,42.44,59.938,32.128,42.491,31.298,34.657,38.407
1997,56.977,40.985,44.856,62.546,33.137,48.482,31.303,34.546,39.441
1998,61.258,43.469,48.028,66.569,37.206,48.873,34.504,35.161,42.468
1999,61.756,46.644,52.095,71.119,40.726,54.653,36.217,36.839,45.048
2000,63.151,47.542,52.23,74.557,44.043,46.716,34.822,39.659,45.688
2001,65.719,50.533,54.71,75.104,44.63,53.047,37.175,43.812,48.558
2002,67.534,53.682,57.244,72.438,47.966,60.95,37.567,49.144,50.488
2003,69.908,56.856,60.978,74.091,59.768,58.131,41.318,52.422,51.668
2004,72.418,61.935,65.888,77.247,56.794,72.236,47.266,60.28,53.184
2005,74.413,63.098,66.196,74.886,55.276,77.861,46.137,63.566,53.919
2006,76.081,63.025,65.639,70.374,61.812,71.963,46.599,64.35,54.319
2007,78.01,64.229,68.392,71.422,61.563,80.359,48.544,62.506,54.404
2008,81.656,64.545,65.601,76.29,58.233,69.549,47.472,68.719,57.338
2009,83.906,68.704,68.238,76.103,61.876,72.995,50.878,74.827,64.068
2010,86.373,75.606,77.484,71.198,83.655,82.059,57.457,75.624,71.282
2011,89.85,82.529,84.276,80.032,81.313,93.808,76.795,83.428,77.358
2012,91.815,85.137,91.686,85.107,84.575,103.096,98.614,77.219,79.304
2013,93.01,84.587,90.74,90.52,85.254,99.018,84.833,76.532,80.373
2014,94.196,82.316,81.62,87.789,70.968,91.509,78.018,83.792,81.974
2015,94.861,83.947,82.636,85.351,77.944,87.045,80.853,86.86,82.8
2016,95.783,87.169,85.774,78.3,91.143,85.621,80.016,90.68,85.167
2017,97.645,91.957,89.68,75.708,90.256,98.134,83.467,96.57,90.931
2018,99.086,95.328,96.928,92.281,94.907,100.758,101.602,93.22,93.811
2019,99.466,93.733,93.98,101.166,86.829,96.384,100.937,93.184,93.942
2020,100,100,100,100,100,100,100,100,100
2021,102.5,108.73,108.32,109.15,104.25,111.25,112.99,112.65,101.44
2022,107.72,112.82,110.88,98.86,110.27,118.17,109.88,119.45,104.93
2023,111.59,116.28,117.54,99.34,115.58,129.54,116.24,116.87,110.56
