시점,척수,어업총생산,1척당 생산
1992,94135,3200852,34
1993,87473,3335916,38
1994,77391,3476605,45
1995,76801,3348216,44
1996,-,3247564,-
1997,81000,3243739,40
1998,90997,2835015,31
1999,94852,2910569,31
2000,95890,2514225,26
2001,94935,2665124,28
2002,94388,2476188,26
2003,93257,2487042,27
2004,91608,2519101,27
2005,90735,2714050,30
2006,86113,3032116,35
2007,85627,3274823,38
2008,80766,3361255,42
2009,77713,3182342,41
2010,76974,3110634,40
2011,75629,3255929,43
2012,75031,3183424,42
2013,71287,3135250,44
2014,68417,3304228,48
2015,67226,3337383,50
2016,66970,3269432,49
2017,66736,3724711,56
2018,65906,3770057,57
2019,65835,3860969,59
2020,65744,3712873,56
2021,65531,3832171,58
2022,64385,3610461,56
