시점,최종에너지,1인당 에너지소비량,온실가스 배출량
1981,38952,1.18,-
1982,38711,1.16,-
1983,41337,1.24,-
1984,44998,1.32,-
1985,46998,1.38,-
1986,50524,1.49,-
1987,55197,1.63,-
1988,61033,1.79,-
1989,65875,1.92,-
1990,74701,2.17,292.1
1991,83336,2.39,315.4
1992,94403,2.65,343.4
1993,103850,2.87,378.5
1994,111787,3.07,403.6
1995,121400,3.32,433.8
1996,131573,3.63,470.3
1997,144541,3.94,501.9
1998,132177,3.59,431.4
1999,143027,3.9,469.4
2000,149958,4.11,502.7
2001,153103,4.2,516.0
2002,160876,4.39,538.5
2003,164550,4.51,548.8
2004,166452,4.59,557.0
2005,171543,4.77,561.5
2006,174873,4.83,566.9
2007,182015,4.86,580.2
2008,183054,4.91,593.5
2009,182080,4.94,597.3
2010,195401,5.33,655.1
2011,205241,5.55,683.8
2012,206974,5.54,687.0
2013,208376,5.55,695.7
2014,210477,5.57,690.8
2015,215447,5.63,691.3
2016,222027,5.74,692.4
2017,231179,5.89,709.4
2018,233585,5.97,725.0
2019,231621,5.86,699.2
2020,222563,5.63,654.4
2021,237360,5.94,676.6

