시점,겨울전력사용량,여름전력사용량,여름전기사용편차,겨울전기사용편차,1인당여름전기사용량,1인당겨울전기사용량
2002,75172610,67842837,-41.5,-50.7,1.6,1.4
2003,79034787,70490773,-38.8,-50.1,1.6,1.5
2004,82887918,76975580,-32.3,-45.7,1.7,1.6
2005,91192383,81572517,-27.7,-43.2,1.9,1.7
2006,93728655,84374783,-24.9,-42.3,1.9,1.7
2007,101502046,89519933,-19.8,-39.1,2.1,1.8
2008,99058568,94131007,-15.2,-36.2,2,1.9
2009,112079150,95278473,-14,-37.1,2.3,1.9
2010,120626520,105238987,-4.1,-28.6,2.4,2.1
2011,122375635,109875552,0.6,-25,2.4,2.2
2012,125871214,112995930,3.7,-22.9,2.5,2.2
2013,125651030,116036206,6.7,-20.8,2.5,2.3
2014,129760248,117799401,8.5,-20.1,2.5,2.3
2015,129887839,119564355,10.2,-19.2,2.5,2.3
2016,133060273,124594624,15.3,-15.3,2.6,2.4
2017,140795189,128158678,18.8,-12.7,2.7,2.5
2018,138223340,134528378,25.2,-6.4,2.7,2.6
2019,135466907,131067414,21.8,-10.4,2.6,2.5
2020,138876809,126346652,17,-16.6,2.7,2.4
2021,144499996,136853644,27.5,-7.5,2.8,2.7
2022,145950436,141627573,32.3,-2.6,2.8,2.8
2023,142543319,140076404,30.8,-2.5,2.8,2.7
