"시점",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2000.01",6.7,8.1,6.0,7.1,7.3,5.8,5.0,-,5.9,3.6,5.2,4.0,4.2,3.5,3.9,4.4,3.3
"2000.02",6.5,8.1,6.0,6.7,7.1,6.7,4.3,-,5.6,3.4,4.8,4.1,3.8,4.2,4.7,4.3,3.8
"2000.03",5.9,7.6,5.6,6.4,6.9,5.1,4.1,-,4.8,3.2,4.3,3.2,3.8,3.4,4.6,3.4,3.7
"2000.04",5.3,6.8,4.7,5.9,6.6,3.9,4.2,-,4.0,3.0,3.6,2.3,3.3,2.9,4.1,3.4,3.2
"2000.05",4.5,6.7,4.0,5.5,7.1,3.9,4.4,-,3.6,2.7,2.6,2.4,2.6,3.3,3.6,3.5,3.0
"2000.06",4.2,6.5,4.0,5.1,6.3,4.0,3.6,-,3.4,2.4,2.6,2.4,2.8,2.8,3.5,3.3,2.9
"2000.07",4.6,7.2,4.5,4.3,6.2,3.9,4.4,-,3.3,2.1,2.9,2.1,2.1,3.2,3.2,3.2,2.5
"2000.08",4.6,7.1,4.8,5.3,6.2,4.2,4.9,-,3.4,2.2,3.3,2.4,2.5,3.6,3.0,3.2,2.1
"2000.09",4.5,7.1,4.6,5.2,6.2,4.5,4.7,-,3.4,2.3,3.5,2.8,2.5,3.2,2.6,3.1,2.0
"2000.10",4.2,6.7,4.4,4.3,5.8,5.0,3.7,-,3.0,2.1,3.2,2.3,2.8,2.8,2.2,3.3,2.2
"2000.11",4.7,6.4,4.6,4.2,5.9,4.6,3.5,-,3.2,2.1,3.5,2.5,3.1,3.0,2.2,3.2,2.1
"2000.12",5.3,6.8,5.2,5.0,6.7,5.6,4.5,-,3.5,2.5,3.8,3.1,4.2,3.3,2.8,3.6,2.2
"2001.01",5.7,7.3,5.6,5.8,6.9,6.6,5.3,-,4.5,3.4,4.6,4.0,5.0,3.7,3.5,3.7,2.7
"2001.02",6.4,7.3,5.8,6.2,7.1,6.7,4.8,-,4.9,3.9,5.0,4.5,4.6,4.1,3.7,4.5,3.5
"2001.03",6.1,7.4,5.9,5.7,6.4,5.6,4.9,-,4.9,3.4,4.3,3.4,3.9,3.5,3.3,4.1,3.1
"2001.04",4.9,6.0,4.9,5.0,5.0,4.3,4.0,-,3.7,2.5,3.4,2.8,3.2,3.0,2.9,3.0,2.8
"2001.05",4.6,5.2,4.5,4.3,4.9,3.8,2.9,-,3.2,2.2,3.2,2.4,3.2,2.8,2.6,2.8,2.9
"2001.06",4.4,5.2,4.7,4.0,4.9,3.8,2.9,-,3.0,1.8,3.1,2.3,2.9,3.1,2.7,2.7,2.5
"2001.07",4.4,5.4,4.5,4.4,4.5,4.1,3.5,-,3.2,1.8,3.0,2.5,2.4,2.9,2.3,3.2,2.2
"2001.08",4.5,5.2,4.5,4.2,4.3,3.7,3.3,-,3.1,1.9,2.9,2.9,2.5,3.2,2.1,3.6,2.4
"2001.09",3.8,4.6,3.9,3.6,4.4,3.7,2.5,-,3.2,1.4,2.9,2.4,2.3,2.6,2.5,3.0,2.1
"2001.10",4.0,4.6,4.5,4.2,4.0,3.6,2.4,-,3.1,1.6,2.6,2.1,2.3,2.5,2.3,3.0,1.8
"2001.11",4.1,4.7,4.5,4.4,4.2,3.6,2.4,-,2.9,1.8,2.8,2.6,2.8,2.4,2.0,3.1,2.1
"2001.12",4.4,5.0,4.7,4.5,4.4,4.7,2.4,-,3.2,2.2,3.6,4.0,3.3,2.6,2.5,3.0,2.2
"2002.01",5.3,4.9,4.9,4.8,4.4,5.1,2.8,-,3.6,2.6,3.5,4.2,3.6,2.5,2.4,3.8,2.4
"2002.02",4.9,4.6,5.3,5.1,4.3,4.6,2.5,-,3.6,2.7,3.7,4.6,3.5,2.3,2.9,3.7,2.9
